[ 2014-08-27T23:50:24+08:00 ] /v/admin.php/User/admin | INFO: Run TokenBuild Behavior [ RunTime:0.000672s ]
[ 2014-08-27T23:50:24+08:00 ] /v/admin.php/User/admin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000461s ]
[ 2014-08-27T23:50:24+08:00 ] /v/admin.php/User/admin | INFO: Run ShowRuntime Behavior [ RunTime:0.000596s ]
[ 2014-08-27T23:50:24+08:00 ] /v/admin.php/User/admin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002622s ]
[ 2014-08-27T23:50:24+08:00 ] /v/admin.php/User/admin | INFO: Tag[ view_end ] --START--
[ 2014-08-27T23:50:24+08:00 ] /v/admin.php/User/admin | INFO: Run ShowPageTrace Behavior [ RunTime:0.000481s ]
[ 2014-08-27T23:50:24+08:00 ] /v/admin.php/User/admin | INFO: Tag[ view_end ] --END-- [ RunTime:0.000535s ]
[ 2014-08-27T23:50:27+08:00 ] /v/admin.php/Weibo/index | INFO: Tag[ route_check ] --START--
[ 2014-08-27T23:50:27+08:00 ] /v/admin.php/Weibo/index | INFO: Run CheckRoute Behavior [ RunTime:0.001020s ]
[ 2014-08-27T23:50:27+08:00 ] /v/admin.php/Weibo/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001123s ]
[ 2014-08-27T23:50:27+08:00 ] /v/admin.php/Weibo/index | INFO: Tag[ app_begin ] --START--
[ 2014-08-27T23:50:27+08:00 ] /v/admin.php/Weibo/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000831s ]
[ 2014-08-27T23:50:27+08:00 ] /v/admin.php/Weibo/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000909s ]
[ 2014-08-27T23:50:27+08:00 ] /v/admin.php/Weibo/index | SQL: SHOW COLUMNS FROM `hd_weibo` [ RunTime:0.002874s ]
[ 2014-08-27T23:50:27+08:00 ] /v/admin.php/Weibo/index | SQL: SELECT COUNT(*) AS tp_count FROM `hd_weibo` WHERE ( `isturn` = 0 ) LIMIT 1   [ RunTime:0.000377s ]
[ 2014-08-27T23:50:27+08:00 ] /v/admin.php/Weibo/index | SQL: SHOW COLUMNS FROM `hd_picture` [ RunTime:0.002535s ]
[ 2014-08-27T23:50:27+08:00 ] /v/admin.php/Weibo/index | SQL: SHOW COLUMNS FROM `hd_userinfo` [ RunTime:0.002783s ]
[ 2014-08-27T23:50:27+08:00 ] /v/admin.php/Weibo/index | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,picture.max AS pic,userinfo.uid AS uid,userinfo.username AS username FROM hd_weibo weibo LEFT JOIN hd_picture picture ON weibo.id = picture.wid LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid WHERE ( weibo.isturn = 0 ) ORDER BY weibo.time DESC LIMIT 0,20   [ RunTime:0.000646s ]
[ 2014-08-27T23:50:27+08:00 ] /v/admin.php/Weibo/index | INFO: Tag[ view_template ] --START--
[ 2014-08-27T23:50:27+08:00 ] /v/admin.php/Weibo/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000929s ]
